	fylkenr	fylke	lat	lon	lat_lon
0	01	Østfold	59.27525	11.10596	59.27525,11.10596
19	02	Akershus	59.912009999999995	10.75549	59.91201,10.75549
42	03	Oslo	59.91198000000001	10.73385	59.91198,10.73385
44	04	Hedmark	60.79529	11.08254	60.79529,11.08254
67	05	Oppland	61.116319999999995	10.46215	61.11632,10.46215
94	06	Buskerud	59.748369999999994	10.18901	59.74837,10.18901
116	07	Vestfold	59.26545	10.41581	59.26545,10.41581
131	08	Telemark	59.216080000000005	9.61103	59.21608,9.61103
150	09	Aust-Agder	58.46443000000001	8.76676	58.46443,8.76676
166	010	Vest-Agder	58.15106	7.99403	58.15106,7.99403
182	011	Rogaland	58.96485	 5.73094	58.96485, 5.73094
209	012	Hordaland	60.38697	5.33206	60.38697,5.33206
243	014	Sogn og Fjordane	61.18103000000001	6.85452	61.18103,6.85452
270	015	Møre og Romsdal	62.73458	 7.15071	62.73458, 7.15071
307	016	Sør-Trøndelag	63.429140000000004	10.39403	63.42914,10.39403
333	017	Nord-Trøndelag	64.0144308	11.4818705	64.0144308,11.4818705
357	018	Nordland	67.2804378	14.37639	67.2804378,14.37639
402	019	Troms	69.6444816	18.9453845	69.6444816,18.9453845
427	020	Finnmark	70.08147340000001	29.734819	70.0814734,29.734819
