Rapportår	Inkubator	Orgnr_ink	Målbedrift	MålbedriftID	Orgnr_bedrift	Fase	Avtalestart	Avtaleslutt	Avslutt engasjement	Bransje	NACE	Etableringsdato	Etableringsår	Fylke	Kommunenr	Kommune	I Forr.messig innovasjon i løpet av året	Inkubatorbedrift i løpet av året	I Preinkubasjon i løpet av året	Kvinnelig daglig leder	Kvinnelig styreleder	KvinneligGrunder	Markedsverdien på innovasjonsstøttetjenester fra inkubatoren	Fakturert egenandel	Sum innovasjonsstøtte fra inkubatoren	Støtteintensitet	kommune_lat	kommune_lon	kommune_lat_lon	fylke_lat	fylke_lon	fylke_lat_lon	Avtalestart_år	Avtaleslutt_år
2013	7Sterke AS	997144368	RØNNING TRESKI AS	532.0	990067236	Inkubatorbedrift	2013-06-11	2016-06-10	USANN	Industri	(tom)	2006-06-26	2006	HEDMARK	0420	EIDSKOG	0.0	1.0	0.0	0	0	0	226980	64944	162036	71.39	59.98556	12.12502	59.98556,12.12502	60.79529	11.08254	60.79529,11.08254	2013	2016
2013	7Sterke AS	997144368	Norway Locks AS	538.0	996744450	Inkubatorbedrift	2012-08-01	2014-06-01	USANN	Industri	(tom)	2012-08-01	2012	HEDMARK	0402	KONGSVINGER	0.0	1.0	0.0	0	0	0	29100	7535	21565	74.11	60.19116999999999	11.99916	60.19117,11.99916	60.79529	11.08254	60.79529,11.08254	2012	2014
2013	7Sterke AS	997144368	ELMICO AS	539.0	985338671	Inkubatorbedrift	2012-12-13	2015-01-15	USANN	Industri	(tom)	2011-11-11	2011	HEDMARK	0419	SØR-ODAL	0.0	1.0	0.0	1	0	1	301710	103478	198232	65.7	60.25455	11.68246	60.25455,11.68246	60.79529	11.08254	60.79529,11.08254	2012	2015
2013	7Sterke AS	997144368	NORTURA SA	533.0	938752648	Forr.messig innovasjon	2013-01-03	2016-01-03	USANN	Industri	(tom)	2013-01-03	2013	HEDMARK	0425	ÅSNES	1.0	0.0	0.0	(tom)	(tom)	0	12500	12500	0	0	60.61363000000001	12.012	60.61363,12.012	60.79529	11.08254	60.79529,11.08254	2013	2016
2013	7Sterke AS	997144368	LOBSTER TRAILERS AS	537.0	999287891	Inkubatorbedrift	2013-01-15	2016-01-15	USANN	Industri	(tom)	2013-10-24	2013	HEDMARK	0402	KONGSVINGER	0.0	1.0	0.0	0	0	0	287220	112600	174620	60.8	60.19116999999999	11.99916	60.19117,11.99916	60.79529	11.08254	60.79529,11.08254	2013	2016
2013	Atheno AS	965075909	Optiship AS	2230.0	996923509	Inkubatorbedrift	2011-06-27	2014-06-27	USANN	Industri	(tom)	2011-05-01	2011	HORDALAND	1219	BØMLO	0.0	1.0	0.0	0	1	1	22000	5500	16500	75	59.79384	5.17624	59.79384,5.17624	60.38697	5.33206	60.38697,5.33206	2011	2014
2013	Atheno AS	965075909	Roger Anglevik	2232.0	999999999	Inkubatorbedrift	2011-02-01	2014-02-01	USANN	Industri	(tom)	2011-02-01	2011	HORDALAND	1219	BØMLO	0.0	1.0	0.0	0	0	0	0	0	0	0	59.79384	5.17624	59.79384,5.17624	60.38697	5.33206	60.38697,5.33206	2011	2014
2013	Atheno AS	965075909	Oil Protection	2233.0	995731088	Inkubatorbedrift	2011-02-01	2014-02-01	USANN	Industri	(tom)	2010-06-18	2010	HORDALAND	1244	AUSTEVOLL	0.0	1.0	0.0	0	0	0	0	0	0	0	60.09486	5.22156	60.09486,5.22156	60.38697	5.33206	60.38697,5.33206	2011	2014
2013	Atheno AS	965075909	Propio	2234.0	897116952	Inkubatorbedrift	2012-01-02	2015-01-02	USANN	Industri	(tom)	2011-06-24	2011	HORDALAND	1244	AUSTEVOLL	0.0	1.0	0.0	1	1	1	16000	4000	12000	75	60.09486	5.22156	60.09486,5.22156	60.38697	5.33206	60.38697,5.33206	2012	2015
2013	Atheno AS	965075909	Wave Propulsion	2235.0	997155572	Inkubatorbedrift	2012-02-13	2015-02-13	USANN	Industri	(tom)	2011-05-19	2011	HORDALAND	1219	BØMLO	0.0	1.0	0.0	0	0	0	22000	5500	16500	75	59.79384	5.17624	59.79384,5.17624	60.38697	5.33206	60.38697,5.33206	2012	2015
2013	Atheno AS	965075909	Seaway Innovations	2236.0	999218040	Inkubatorbedrift	2012-09-06	2015-09-06	USANN	Industri	(tom)	2012-09-06	2012	HORDALAND	1224	KVINNHERAD	0.0	1.0	0.0	0	0	0	14000	4000	10000	71.43	59.98421	6.01227	59.98421,6.01227	60.38697	5.33206	60.38697,5.33206	2012	2015
2013	Atheno AS	965075909	Eldøyane Næringspark	2240.0	981579283	Forr.messig innovasjon	2012-02-01	2015-02-01	USANN	Industri	(tom)	2000-01-01	2000	HORDALAND	1221	STORD	1.0	0.0	0.0	(tom)	(tom)	0	0	0	0	0	59.78092	5.4998	59.78092,5.4998	60.38697	5.33206	60.38697,5.33206	2012	2015
2013	Atheno AS	965075909	Lumic	2241.0	974481308	Forr.messig innovasjon	2012-03-03	2015-03-03	USANN	Industri	(tom)	1995-05-19	1995	HORDALAND	1223	TYSNES	1.0	0.0	0.0	(tom)	(tom)	0	0	0	0	0	60.04076	5.53129	60.04076,5.53129	60.38697	5.33206	60.38697,5.33206	2012	2015
2013	Atheno AS	965075909	Bunnsmøring/maling for maritimt miljø	2285.0	999999999	Preinkubasjon	2013-05-14	2014-05-14	USANN	Industri	(tom)	2013-05-14	2013	HORDALAND	1221	STORD	0.0	0.0	1.0	0	0	0	12000	3000	9000	75	59.78092	5.4998	59.78092,5.4998	60.38697	5.33206	60.38697,5.33206	2013	2014
2013	Atheno AS	965075909	Trommelsystem for sentralstøvsuger	2239.0	999999999	Inkubatorbedrift	2013-09-25	2016-09-25	USANN	Industri	(tom)	2013-01-01	2013	HORDALAND	1244	AUSTEVOLL	0.0	1.0	0.0	0	0	0	6000	1500	4500	75	60.09486	5.22156	60.09486,5.22156	60.38697	5.33206	60.38697,5.33206	2013	2016
2013	Atheno AS	965075909	Kreativitetspark	2268.0	999999999	Preinkubasjon	2013-01-15	2016-01-15	USANN	Reiseliv	(tom)	2013-01-15	2013	HORDALAND	1223	TYSNES	0.0	0.0	1.0	0	0	0	26400	6600	19800	75	60.04076	5.53129	60.04076,5.53129	60.38697	5.33206	60.38697,5.33206	2013	2016
2013	Atheno AS	965075909	HAAHEIM GAARD TORSTEIN HATLEVIK	2231.0	982165423	Inkubatorbedrift	2013-01-15	2016-01-15	USANN	Mat og Natur	(tom)	2000-06-30	2000	HORDALAND	1223	TYSNES	0.0	1.0	0.0	0	0	0	22000	9900	12100	55	60.04076	5.53129	60.04076,5.53129	60.38697	5.33206	60.38697,5.33206	2013	2016
2013	Atheno AS	965075909	3D VISION AS	2237.0	912322777	Inkubatorbedrift	2013-09-30	2016-09-30	USANN	Industri	(tom)	2013-08-01	2013	HORDALAND	1222	FITJAR	0.0	1.0	0.0	0	0	0	10000	2500	7500	75	59.91741999999999	5.31637	59.91742,5.31637	60.38697	5.33206	60.38697,5.33206	2013	2016
